2014-11-12 09:07:01 INFO  [TBolCorreoDAO] [find] [Thread-3] - Obteniendo el correo con id 1-199
2014-11-12 09:07:01 INFO  [GenerateBL] [findCorreoByIdTBol] [Thread-4] - Se encontro el correo satisfactoriamente con id 1-200
2014-11-12 09:07:01 INFO  [GenerateThread] [generateTBol] [Thread-4] - Se encontro el correo satisfactoriamente con id 1-200
2014-11-12 09:07:01 INFO  [GenerateBL] [findCorreoByIdTBol] [Thread-3] - Se encontro el correo satisfactoriamente con id 1-199
2014-11-12 09:07:01 INFO  [GenerateThread] [generateTBol] [Thread-4] - Se va a procesar la generacion de detalle de la linea: 77110005
2014-11-12 09:07:01 INFO  [GenerateThread] [generateTBol] [Thread-3] - Se encontro el correo satisfactoriamente con id 1-199
2014-11-12 09:07:01 INFO  [GenerateThread] [procesarLineas] [Thread-4] - Se va obtener datos para generar el detalle de llamadas sac de la programacion con id 1-200
2014-11-12 09:07:01 INFO  [GenerateThread] [generateTBol] [Thread-3] - Se va a procesar la generacion de detalle de la linea: 77110005
2014-11-12 09:07:01 INFO  [GenerateThread] [procesarLineas] [Thread-3] - Se va obtener datos para generar el detalle de llamadas sac de la programacion con id 1-199
2014-11-12 09:07:01 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-3] - (ip=172.29.81.51, usuario=TigoBusiness, usuariowindows=TigoBusiness): Se va obteniendo el detalle consolidado de sac con la cuenta 77110005
2014-11-12 09:07:01 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-4] - (ip=172.29.81.51, usuario=TigoBusiness, usuariowindows=TigoBusiness): Se va obteniendo el detalle consolidado de sac con la cuenta 77110005
2014-11-12 09:07:01 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-3] - Se va realizar varias interaciones para consultar el detalle del web services para verificar su finalizacion.
2014-11-12 09:07:01 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-4] - Se va realizar varias interaciones para consultar el detalle del web services para verificar su finalizacion.
2014-11-12 09:07:01 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-3] - Se va intentar obtener el detalle de la primera pagina, resgistros 100
2014-11-12 09:07:01 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-4] - Se va intentar obtener el detalle de la primera pagina, resgistros 100
2014-11-12 09:07:11 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-4] - Consulta realizado al metodo consolidado con codigo=1, secuencia=0, estado=P
2014-11-12 09:07:11 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-4] - No se ha podido obtener el detalle de llamadas, Se ha sobrepasado la cantidad de peticiones aceptadas. Por favor consulte con el Administrador.
2014-11-12 09:07:11 INFO  [GenerateThread] [procesarLineas] [Thread-4] - No se obtuvo los datos para generar los detalles
2014-11-12 09:07:11 INFO  [GenerateThread] [procesarLineas] [Thread-4] - CAMBIANDO A ESTADO EPR
2014-11-12 09:07:11 INFO  [GenerateBL] [updateEstado] [Thread-4] - Se va actualizar el estado del historial 1-200
2014-11-12 09:07:11 INFO  [TBolHistorialDAO] [updateEstado] [Thread-4] - Se ejecuto el procedimiento almacenado de update intentos
2014-11-12 09:07:11 INFO  [GenerateThread] [procesarLineas] [Thread-4] - actualizando el historial de la linea: 77110005 con estado EPR en fallida
2014-11-12 09:07:11 INFO  [GenerateBL] [updateHistorialIntentosTBol] [Thread-4] - Se va actualizar el historial 1-200 a fallida
2014-11-12 09:07:11 INFO  [TBolHistorialDAO] [updateIntentos] [Thread-4] - Se ejecuto el procedimiento almacenado de update intentos
2014-11-12 09:07:11 INFO  [GenerateThread] [procesarLineas] [Thread-4] - No genero el detalle de llamadas y actualizo los intentos del historial
2014-11-12 09:07:11 INFO  [GenerateThread] [generateTBol] [Thread-4] - No genero detalles y actualizo los intentos del historial, linea con ticket 1-200
2014-11-12 09:07:11 INFO  [GenerateThread] [generateTBol] [Thread-4] - El hilo termino de generar los detalles programados
